"","site","year","month","ppt","tmax","tmin"
"891","SSM",1997,3,2.02800011634827,22.8591003417969,4.14540004730225
"892","SSM",1997,4,7.67700052261353,22.0358009338379,6.35090017318726
"893","SSM",1997,5,8.25,31.9500999450684,13.4518003463745
"894","SSM",1997,6,2.3030002117157,34.190601348877,15.9072999954224
"895","SSM",1997,7,5.84900045394897,37.2490997314453,18.2017993927002
"896","SSM",1997,8,30.5060005187988,36.568000793457,20.3647994995117
"897","SSM",1997,9,94.8350067138672,31.7560005187988,17.1278991699219
"898","SSM",1997,10,10.782000541687,25.2458992004395,7.52209997177124
"899","SSM",1997,11,21.5020008087158,18.9197998046875,3.26419997215271
"900","SSM",1997,12,11.7200002670288,11.2068996429443,-1.93710005283356
"901","SSM",1998,1,27.4740009307861,13.5158004760742,0.405099987983704
"902","SSM",1998,2,93.4360046386719,12.4162998199463,1.82539999485016
"903","SSM",1998,3,39.2430000305176,18.4752006530762,3.27259993553162
"904","SSM",1998,4,35.1950035095215,20.5097007751465,5.34539985656738
"905","SSM",1998,5,18.5620002746582,27.1898002624512,9.60900020599365
"906","SSM",1998,6,12.8570003509521,31.573299407959,13.1415996551514
"907","SSM",1998,7,39.9860000610352,37.8862991333008,20.0512008666992
"908","SSM",1998,8,6.23000049591064,37.8419990539551,20.1229000091553
"909","SSM",1998,9,76.9240036010742,30.9316997528076,15.27649974823
"910","SSM",1998,10,40.435001373291,23.909200668335,7.58610010147095
"911","SSM",1998,11,33.6910018920898,16.9801006317139,1.78260004520416
"912","SSM",1998,12,0.337000012397766,12.7423000335693,-2.71970009803772
"913","SSM",1999,1,10.951000213623,15.0677003860474,-1.22959995269775
"914","SSM",1999,2,18.2810001373291,16.362699508667,0.831399977207184
"915","SSM",1999,3,2.64400005340576,22.3059005737305,3.39910006523132
"916","SSM",1999,4,32.0150032043457,20.1117000579834,5.04500007629395
"917","SSM",1999,5,7.52400016784668,28.2633991241455,10.3452997207642
"918","SSM",1999,6,27.6840019226074,33.8008995056152,14.815899848938
"919","SSM",1999,7,37.7690010070801,35.9799003601074,21.4029006958008
"920","SSM",1999,8,25.4810009002686,36.4062995910645,20.5086002349854
"921","SSM",1999,9,6.51900053024292,32.673698425293,15.0385999679565
"922","SSM",1999,10,0,29.1660003662109,8.02250003814697
"923","SSM",1999,11,1.09700000286102,21.8001003265381,2.32829999923706
"924","SSM",1999,12,0.927000045776367,13.6110000610352,-0.341500014066696
"925","SSM",2000,1,17.1700000762939,14.3655996322632,0.401699990034103
"926","SSM",2000,2,79.640007019043,15.4730997085571,3.14619994163513
"927","SSM",2000,3,34.3400001525879,19.1676006317139,3.79649996757507
"928","SSM",2000,4,9.55700016021729,26.4827995300293,8.65810012817383
"929","SSM",2000,5,3.31500005722046,31.706600189209,13.1988000869751
"930","SSM",2000,6,1.83800005912781,35.9440994262695,17.2530002593994
"931","SSM",2000,7,2.81900024414062,38.0303001403809,18.9683990478516
"932","SSM",2000,8,28.0970020294189,36.6461982727051,20.6945991516113
"933","SSM",2000,9,4.49500036239624,32.9276008605957,15.0968999862671
"934","SSM",2000,10,61.7020034790039,24.1765995025635,9.56649971008301
"935","SSM",2000,11,19.8810005187988,13.1609001159668,-0.828400015830994
"936","SSM",2000,12,2.15100002288818,14.5340003967285,-1.08340001106262
"937","SSM",2001,1,33.5410003662109,12.016300201416,-0.835799992084503
"938","SSM",2001,2,27.7250003814697,14.2782001495361,1.38870000839233
"939","SSM",2001,3,46.1310005187988,19.3038005828857,5.75820016860962
"940","SSM",2001,4,28.6390018463135,22.7150001525879,7.89289999008179
"941","SSM",2001,5,3.23600006103516,32.2873992919922,14.9911003112793
"942","SSM",2001,6,2.67300009727478,36.4336013793945,18.5683002471924
"943","SSM",2001,7,8.97200012207031,38.2384986877441,21.2029991149902
"944","SSM",2001,8,17.0310001373291,38.6511993408203,21.5576992034912
"945","SSM",2001,9,0.307000011205673,35.8524017333984,18.0540008544922
"946","SSM",2001,10,4.81600046157837,28.6944999694824,11.8347997665405
"947","SSM",2001,11,14.8950004577637,19.762300491333,5.40119981765747
"948","SSM",2001,12,28.1480007171631,10.117600440979,-1.29250001907349
"949","SSM",2002,1,4.3560004234314,12.2753000259399,-0.738300025463104
"950","SSM",2002,2,1.28900003433228,16.6658000946045,0.095600001513958
"951","SSM",2002,3,7.00100040435791,18.5020999908447,2.61279988288879
"952","SSM",2002,4,1.66100013256073,26.5816993713379,10.295599937439
"953","SSM",2002,5,0,29.9204006195068,12.0195999145508
"954","SSM",2002,6,0,36.9146995544434,17.0146007537842
"955","SSM",2002,7,1.71200013160706,40.244800567627,21.6504001617432
"956","SSM",2002,8,0,38.3198013305664,20.8929004669189
"957","SSM",2002,9,34.1380004882812,32.526798248291,16.9517993927002
"958","SSM",2002,10,26.5200004577637,24.3838996887207,9.2504997253418
"959","SSM",2002,11,17.5,17.6907997131348,3.02329993247986
"960","SSM",2002,12,19.6310005187988,12.0465002059937,0.193200007081032
"961","SSM",2003,1,4.89400005340576,16.7695999145508,2.18479990959167
"962","SSM",2003,2,63.5110015869141,14.3502998352051,1.90639996528625
"963","SSM",2003,3,40.7540016174316,18.1583995819092,4.56279993057251
"964","SSM",2003,4,29.6620006561279,21.7917995452881,6.99650001525879
"965","SSM",2003,5,3.92000007629395,30.1446990966797,13.3798999786377
"966","SSM",2003,6,0,35.8585014343262,16.9216995239258
"967","SSM",2003,7,7.29700040817261,40.9168014526367,23.2751998901367
"968","SSM",2003,8,19.3190002441406,37.345401763916,21.8981990814209
"969","SSM",2003,9,11.0570001602173,34.3601989746094,17.1812000274658
"970","SSM",2003,10,1.22200000286102,30.2327003479004,13.0508003234863
"971","SSM",2003,11,19.9090003967285,15.3569002151489,2.8585000038147
"972","SSM",2003,12,41.3750038146973,12.8701000213623,0.093299999833107
"973","SSM",2004,1,8.5,12.3004999160767,-1.62679994106293
"974","SSM",2004,2,81.9030075073242,11.2536001205444,0.272799998521805
"975","SSM",2004,3,2.05900001525879,24.2014007568359,7.80359983444214
